id,company,title,date,url,description,topics,source_name,discovered_at,last_seen_at
e2b69ea7f89a4715,BCG,AI-First Procurement: How Autonomous Agents Drive Competitive Advantage,2026-08-03,https://www.bcg.com/publications/2026/ai-in-procurement-drives-competitive-advantage,Procurement teams are capturing only a fraction of AI’s potential value. The missing ingredient? Redesigning workflows around AI agents.,AI|Supply Chain,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
8740f5c4c943a91d,BCG,The Unexpected Ways GLP-1s Are Transforming Consumer Behavior,2026-08-03,https://www.bcg.com/publications/2026/glp-1-consumer-behavior-shift,"GLP-1s are doing more than shrinking appetites. They’re stimulating lasting changes in the way users—and their households—eat, shop, dress, exercise, and spend.",,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
9b12bbaa51da92d3,BCG,Do You Own Your Enterprise Cortex? The AI Strategy Risk CEOs May Not See Coming.,2026-08-03,https://www.bcg.com/publications/2026/how-ceos-avoid-ai-vendor-lock-in-risk,"As AI becomes central to enterprise decision making, CEOs face a new challenge: protecting what makes their business unique.",Strategy,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
097f00bd91c61706,Deloitte,What’s happening this week in economics?,2026-08-03,https://www.deloitte.com/us/en/insights/topics/economy/global-economic-outlook/weekly-update.html,What’s happening this week in economics? Deloitte’s team of economists examines news and trends from around the world.,Economics,Deloitte Insights,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
1b2c6a3f3f843c8c,BCG,How CEOs Can Make the Most of Their Time After Leaving the Corner Office,2026-07-31,https://www.bcg.com/publications/2026/how-ceos-thrive-after-the-corner-office,"Stepping down from a successful, performance-driven career can be disorienting, but a new survey highlights specific moves that can help CEOs manage the transition.",,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
01f5403bbeaf257a,BCG,Entrepreneurial Capitalism Will Be Built City by City,2026-07-31,https://www.bcg.com/publications/2026/entrepreneurial-ecosystems-city-by-city,"Today’s city leaders face social and economic challenges, but growing their startup ecosystems can deliver citizen benefits on a budget.",Economics,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
2529db3a5e73ef1b,BCG,The AI-First Asset Manager,2026-07-21,https://www.bcg.com/publications/2026/reimagining-asset-management-with-ai,"Autonomous AI agents can help solve some of the industry’s most pressing problems—but only if the CEO, CTO, and CIO align on strategic vision.",AI,BCG Publications,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
1ed2516bd044da0b,Deloitte,FSI Predictions 2026,2026-05-19,https://www.deloitte.com/us/en/insights/industry/financial-services/financial-services-industry-predictions.html,"How emerging technologies and market shifts will transform the structure, delivery, and accessibility of financial services in the United States",,Deloitte Insights,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
c1a5398f75752317,Deloitte,2026 Digital Media Trends: Capturing always-on fandom between releases and seasons,2026-03-24,https://www.deloitte.com/us/en/insights/industry/technology/digital-media-trends-consumption-habits-survey.html,"To boost retention and monetize fan engagement, owners of strong fandoms could host year-round social content, shopping, and exclusive experiences in their own environments",,Deloitte Insights,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
df2a13b8384b1ca4,Deloitte,2026 Global Human Capital Trends,2026-03-04,https://www.deloitte.com/us/en/insights/topics/talent/human-capital-trends.html,"Our 2026 survey reveals a shift from tensions to tipping points. What intentional choices can organizations make to adapt continuously, move with speed, and lead with a human edge?",Workforce,Deloitte Insights,2026-08-08T17:09:53Z,2026-08-08T17:09:53Z
